date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-09-16,0.7822035327120321,0.39050519562967506,1.1556436953437335,27095804199
2024-09-17,0.7825672948004069,0.3993504000534948,1.1910357489364238,27095804199
2024-09-18,0.7829310568887816,0.39646109768553295,1.1697192368132627,27095804199
2024-09-19,0.7832948189771561,0.40263127613474314,1.1750109295076911,27095804199
2024-09-20,0.7836585810655309,0.39809837889254557,1.1842447276585342,27095804199
2024-09-21,0.7840223431539056,0.39425310507546024,1.189230363284654,27095804199
2024-09-22,0.7843861052422801,0.3812690511155961,1.1646008557542789,27095804199
2024-09-23,0.7847498673306549,0.3970200220717033,1.165587369732124,27095804199
2024-09-24,0.7851136294190296,0.41725834723572297,1.1630326978221845,27095804199
2024-09-25,0.7854773915074041,0.37936653613958055,1.1538915348099785,27095804199
2024-09-26,0.7858411535957789,0.39691567065185596,1.157693116867794,27095804199
2024-09-27,0.7862049156841536,0.3848371487932791,1.1909845705811581,27095804199
2024-09-28,0.7865686777725281,0.3741181271069057,1.188891937901882,27095804199
2024-09-29,0.7869324398609029,0.37735255836982473,1.1614155931603318,27095804199
2024-09-30,0.7872962019492776,0.3805669929031645,1.190187176049967,27095804199
2024-10-01,0.7876599640376521,0.3993714096367928,1.2036323649946095,27095804199
2024-10-02,0.7880237261260269,0.39662184647585236,1.185123974981406,27095804199
2024-10-03,0.7883874882144016,0.3951904358932082,1.1835858937350194,27095804199
2024-10-04,0.7887512503027762,0.40877407097054075,1.162367761330651,27095804199
2024-10-05,0.7891150123911509,0.41489770202546644,1.1832355256007105,27095804199
2024-10-06,0.7894787744795256,0.3713439709671191,1.1659161761840162,27095804199
2024-10-07,0.7898425365679002,0.3799393697222481,1.1733922494031033,27095804199
2025-01-21,12.886174930121149,11.513096586426338,14.260648842662206,27095805681
2025-01-22,12.920719783056537,11.477933204629556,14.307475174544251,27095805681
2025-01-23,12.955264635991922,11.529157611950408,14.294688580238336,27095805681
2025-01-24,12.98980948892731,11.623242426487685,14.343779690261115,27095805681
2025-01-25,13.024354341862697,11.699905874927834,14.440516790190912,27095805681
2025-01-26,13.058899194798084,11.742794616361948,14.435080421964528,27095805681
2025-01-27,13.09344404773347,11.731340804953868,14.53429786824146,27095805681
2025-01-28,13.127988900668857,11.745763964518813,14.52238266492173,27095805681
2025-01-29,13.162533753604244,11.7622191725096,14.602390812924517,27095805681
2025-01-30,13.19707860653963,11.819893285542292,14.672971545267103,27095805681
2025-01-31,13.231623459475017,11.854378357730836,14.65034831521857,27095805681
2025-02-01,13.266168312410402,11.868714706613508,14.64630578548577,27095805681
2025-02-02,13.30071316534579,11.809673959749825,14.650699933041395,27095805681
2025-02-03,13.335258018281175,11.909637214386281,14.741215323132813,27095805681
2025-02-04,13.369802871216567,11.904972782883009,14.778665463304078,27095805681
2025-02-05,13.404347724151954,11.995397198237779,14.79825765949047,27095805681
2025-02-06,13.43889257708734,12.047158857701024,14.904156045415666,27095805681
2025-02-07,13.473437430022727,12.137140256671415,14.971147424622464,27095805681
2025-02-08,13.507982282958114,12.077462466653657,14.896138379589292,27095805681
